Nom et nature,Conditionnement,PPV
SOLUTION POUR DIALYSE PÉRITONÉALE BIEFFE FORMULE 91,2 litres,
"DESTEC 5 MG, Comprimé pelliculé",Boite de 7,22
"RISORDAN 10 MG, Comprimé",Boîte de 60,27.5
"INOPRIL 8 MG, Comprimé",Boite de 30 comprimés sécables,200
"APROVASC 300 MG / 10 MG, Comprimé pelliculé",Boite de 28,209
"MAMMOCUR 1 MG, Comprimés pelliculés",Boite de 30,442
"VELITEN 200 mg-50 mg- 200 mg , Comprimé pelliculé",Boîte de 30,63.5
"FOLINATE DE CALCIUM AGUETTANT 100 MG, Poudre injectable",Boîte de 1 flacon,107.5
"RHOPHYLAC 300 µg/ 2 ml , Solution injectable en seringue préremplie",Boîte de 1,710
"MONONITRIL 20 MG, Comprimé",Boîte de 20,17
"VARTEX 80 MG, Comprimé pelliculé",Boite de 28,131.5
"IRPHI PLUS 150 MG / 12.5MG , Comprimé pelliculé",Boite de 10,55
"BCG CULTURE SSI, Poudre et solvant pour suspension injectable",Boite de 4 flacons,1491
"NOMYC 150 MG, Gélule",Boîte de 4,78
"REBETOL 200 MG, Gélule",Boîte de 84,2037
"CARBOPLATINE MYLAN 450 MG/45 ML, Solution injectable pour perfusion",Flacon de 45 ml,1577
"SODIUM CHLORURE 0,9% 10 ml",Boîte de 100 ampoules,
"TARDYFERON 80 MG, Comprimé pelliculé enrobé",Boîte de 30,40.5
"NOROXINE 400 MG, Comprimé",Boîte de 10,104.7
"FITOFER B9, Comprimé",Boite de 30,79.8
"PHOSPHALUGEL, Sachet",Boîte de 20,34.5
"MUXOL, Solution buvable",Flacon de 125 ml,27.1
"CO-AVEPRO 300 MG / 25 MG, Comprimé",Boite de 28,163
"COIRBESAR SUN 150 MG / 12.5 MG, Comprimé pelliculé",Boite de 14,69.5
"ALACTAM 500 MG / 62.5 MG, Sachet",Boite de 12,57
"PUREGON 50 UI / 0,5 ML IM ou SC, Solution injectable",Boîte de 1,318
"ARCHIFAR 1000 MG, Poudre pour solution injectable ou pour perfusion",Boite de 10 flacons,657
"MEPRAMIDE 0,24 % gouttes buvables",Flacon de 60 ml,18.05
"CARBOSYLANE 140 MG / 45 MG , Gélule",Boîte de 96,74
"AXIMYCINE 1G, Comprimé dispersible",Boîte de 14,64.1
"THYROZOL 5 MG, Comprimé pelliculés sécables",Boite de 30,30.5
"ARIPIPHI 15 MG, Comprimé",Boite de 15,235
"ANAPRED 20 MG, Comprimé orodispersible",Boite de 30,57.1
"RELVAR ELLIPTA 92MCG / 22 MCG, Poudre pour inhalation",Boite de 30 doses,430
"KOPRED 5 MG, Comprimé effervescent",Boite de 30,23
"DECAPEPTYL LP 3.75 MG, Suspension injectable en IM",Boîte de 1 Poudre+ solvant,1456
"BUPIVACAÏNE MYLAN 0,25 % (50 mg/20ml) Solution injectable",Boîte de 10 flacons,406
"BEVIRAN 100 MG, Comprimé",Boîte de 30,35.6
"SPIOLTO RESPIMAT 2.5 µG / 2.4 µG/ dose , Sol à inhaler",Boite unitaire,683
"VENTOLINE 50 MG / 10 ML, Solution pour inhalation par nébuliseur",Flacon de 10ml,29.5
"OMNISCAN 0,5 mmol/ml, Solution injectable (Suspension de l'AMM : le 6 février 2018)",Solution injectable Flacon de 10 ml,318
"LEFLOX PHARMA5 500MG, Comprimé pelliculé",Boite de 10,139.5
"IBERTIN 500 MG / 62.5 MG, Sachet",Boite de 16,88.3
"VANTEC 10 MG, Comprimé enrobé sécable",Boite de 15,20.3
"EXFORGE HCT 5 MG / 160 MG / 12,5 MG, comprimé",Boite de 28,361
"PROTOS 2 G, Granulés en sachet",Boîte de 28,471
"FLOXAM 500 MG, Gélule",Boîte de 24,116.4
"DAIVOBET 50µG / 0,5 MG / G, Gel dermique",Tube de 15 G,156.4
"MUCICLAR ADULTE (5%), Sirop",Flacon de 125 ml,23.2
"MEDROL 4 MG, Comprimé sécable",Boîte de 30,35.1
"HIBOR 3500 UI, Seringue pré-remplie",Boîte de 2 seringues préremplies,98.5
"FITOPOLIS ADULTE, SOLUTION BUVABLE",Flacon de 150 ML,
"ODRIK 4 MG, Comprimés",Boite de 28,110.1
"ULCECURE 20/500/1000 MG, Comprimé/Gélule",42 Unités,337
"DULTAVAX, Suspension injectable",Boîte d'une seringue d'une dose,127
"DIAMOX 250 MG, Comprimé sécable",Boîte de 24,19
"TITANOREINE , Suppositoire",Boîte de 12,19.3
"BUSCOPAN 10 MG, Comprimé",Boîte de 40,21.6
FLUZOFT 20 mg Gélule,Boîte de 28,150
"GLYCAN RETARD 850 MG, Comprimé enrobé",Boîte de 30,21.4
"OREX 500 mg , Gélule",Boîte de 12,63.2
"MUSFON 80 MG, Comprimé orodispérsible",Boite de 20,33
"AMPICILLINE PHARMA 1000 MG, Poude et solvant pour solution injectable",Boîte de 1 Flacon de poudre et 1 ampoule de solvant,14
"ALPHAGAN 0,2%, Collyre",Flacon de 5 ml,147.5
"POTEX 2000 UI, Lyophilisat",Boîte de 1 Flacon avec une seringue préremplie,333
"APROVASC 300 MG / 5 MG, Comprimé pelliculé",Boite de 28,185.6
"DARZALEX 20 MG / ML, Solution à diluer pour perfusion",Boite de 20 ML,19423
"TOPIRAMATE GT 100 MG, Comprimé pelliculé",Boîte de 30,200
"LIRAPYN 300 MG, Gélule",Flacon de 30,283
"ARIXTRA 2,5 MG / 0,5 ML, Seringue pré-remplie",Boîte de 2,190
"CANAFLUCAN 50 mg , Gélule",Boîte de 3,63
"DELAPRIDE 30/2.5 MG, Comprimé",Boîte de 28,150
"ROXAM 20 MG, Gélule",Boîte de 16,48.9
"ENROUEX, Sirop",Flacon de 125 ML,59.5
"MAZAX 300 MG, Poudre pour suspension buvable en Sachet",Boîte de 3,128
"MYCOFLU 150 mg, Gélule",Boîte de 1,30
"CEREZYME, Poudre stérile lyophilisée pour perfusion",Flacon de 20 ml,15869
"BIOTONE 3,36-0,28-0,028-10ml , Solution buvable",Boîte de 30,74.9
"CORANGIN 60 mg, Comprimé pelliculé sécable LP",Boîte de 20,102.5
"TRIMEDAT 150 MG, Gélule",Boîte de 20,47.2
"CLARTEC 5 MG/ 5 ml , Suspension buvable",Flacon de 60 ml,26.5
"ZIDOVIR 50 MG / 5 ML, Solution buvable",Flacon de 100ml,90.7
"PURINOL 100 mg , Comprimé",Boîte de 28,14.9
"REGOR 35 MG, Comprimé pelliculé",Boite de 4,190
HYDROFAST GEL,Tube de 100 Grammes,75.5
"FELDENE 20 MG, Suppositoire",Boîte de 10,56.9
"CORALAN 7,5 MG, Comprimé pelliculé",Boîte de 28,378
"ANTIMETIL, Comprimé",Boite de 30 cps,72.8
ESTEBEL 100 unités Poudre lyophilisée pour solution injectable,Boîte unitaire,3400
MUCOCIL 5 % Sirop ADULTE,Flacon de 300 ml,46.4
"GLUCOSE SOTHEMA 0,05 , Solution injectable",Poche 100ml,15.2
"GIROFLOX 250 MG, Comprimé pelliculé",Boîte de 16,74.8
"TETRACINE 500 mg , Comprimé enrobé",Boîte de 10,21.7
"SAFLU 125 µg, Suspension pour inhalation",Flacon de 120 doses,140
FONDERMA 1 % Solution,Flacon de 60 ml,15.55
NETROMICINE 25mg/1ml Solution injectable,Boîte de 1 ampoule de 1ml,15
"APLEVAX 5 MG, Comprimé",Boite de 30,96.9
"S-PERAM 20 MG, Comprimé pelliculé",boite de 10,75
"STREPTOCID 2000 MG (IM), Poudre et solvant pour solution injectable",Boite unitaire,25.6
"PNEUMO 23, solution injectable","Boîte d'une seringue de 0,5 ml",162
"DURESAN 20 MG / 2 ML, Injectable",Boîte de d'1 ampoules injectable A 2 ml,5.6
"ZAMOX 100 MG / 12.5 MG, Enfant poudre pour solution orale",Flaccon de 60 ml,66.1
"ARCALION 200 MG, Comprimé enrobé",Boîte de 20,47.7
"QLAIRA, Comprimé",Boite DE 28,153.3
"LAMICTAL 5mg, Comprimé dispersible",Boîte de 30,33.5
"PIPORTIL 4%, Solution buvable",Boîte de 1 Flacon de 10 ml,338
"CAPREX 150 MG, Gellule",Boite de 60,289
"ZOLAM 15 mg , Gélule",Boîte de 14,38
"NIVESTIM 30 MU / 0.5 ML, Injectable",Boite de 5 seringues pré-remplies de 0.5 ML,1317
"NAPROXÈNE PHARMA 550 MG, Capsule réctale",Boîte de 10,34
"SOLUMEDROL 40 MG / 2 ML, Injectable",3 Flacon + 1 ampoule,24.3
"FRANCE LAIT LF , Lait sans lactose",Boite de 400G,67
"BIOVANIC 500 MG, Comprimé pelliculé",Boite de 5,69
"HUMIRA 40 MG, Injectable",Boite 2 Stylos S/C,10918
"MICARDIS 80 MG, Comprimé",Boîte de 28,200
DIASTAB 80 mg Comprimé sécable,Boîte de 60,60
"SALAZOPYRINE 500 MG, Comprimé enrobé gastro-resistant",Boîte de 100,141.7
"HEPANAT, Comprimé",Boite de 40,68.6
"CALCIUM du SANDOZ 500 mg, Comprimé effervescent",Boîte de 20,45.2
"EVOX 500 MG, Comprimé pelliculé",Boite de 5,75.1
"LAMIVIR HBV 150 MG,Comprimé pelliculé",Boîte de 60 comprimés,68
"APOTEL 10 MG / ML, Solution pour perfusion",Boite de 50 poches de 100 ML,984
"TECPRIL 10 MG, Gélule",Boîte de 30,120
"CARBOPLATINE DBL 450 MG / 45 ML, Solution pour perfusion",Flacon de 450 mg/45 ml,1493
"PACLITAXEL COOPER 100 MG / 16,7 ML, Solution pour perfusion",Boîte de 1,1115
"CALCINIB 10 MG, Comprimé",Boîte de 14,38.9
"PHYSIOLAC AR 1ER AGE, Lait",Boite de 400G,69.9
"FLUIBRON 30 MG, Sachet adultes",Boîte de 30,82
"FARMODOXI 100 MG, Comprimé",Boîte de 10,23.4
"MODILAC 8 CEREALES ET MIEL, Farine",PPV: 38.00 dhs,
"XAUTIS 10 MG, Comprimé orodispersible",Boite de 30,281
"RISPERIDONE GT 2 MG, Comprimé",Boite de 20,114.1
"CLARIL 500 MG, Comprimé",Boîte de 14,160
"MEGAFLOX IV 200 MG / 100 ML, Solution pour perfusion",Flacon de 100 ml,151
CODETUX ADULTE 140 mg Sirop,Flacon de 180 ml,20.55
"HEMO-PUR AG, Solution concentrée acide pour hémodialyse avec bicarbonate","Bidon de 10.000 / Dosage : 172,19 / 36,83 / 5,49 / 9,48 / 3,74 / 8,85G / L",107.4
"DURESAN 40MG, Comprimé",Boîte de 20,18.3
"PROTADEX 50 MG, Comprimé pelliculé",Boite de 28,449
"PARANTAL 500 MG, Comprimé effervescent",Boîte de 20,18.7
"CO-IRVEL 300 MG / 12.5 MG, Comprimé pelliculé",Boite de 28,158
"NEURID 0,5 % Solution buvable",Flacon de 125 ml,24.5
"DICLOCED 1 MG / ML, Collyre",Flacon de 10ml,68
HEXAPNEUMINE Comprimé Dragéifié,Boîte de 20,30.2
"LANTUS 100U/ml , Solution injectable",Boîte d'un Flacon de 10 ml,517
"IRBESAR SUN 300MG, Comprimé",Boite de 28,84.8
"NOVALAC IT 1ER AGE, Lait",Boite de 400G,71
"GENTALLINE 10 MG, Solution injectable",Boîte de 1 ampoule,8.1
"CANAFLUCAN 150 mg , Gélule",Boîte de 2,50.2
"LODES 5 MG, Comprimé",Boite de 14,41.7
"ERECTOR 25 MG, Comprimé enrobé",Boîte de 2,45
FLUCAZOL GENPHARMA 50 mg Gélule,Boîte de 7,78
"CAVERJECT 10 µG /1 ML, Lyophilisat et Solution pour usage parentéral",Boîte de 1 Flacon de + 1 seringue préremplie,135.3
"EFFEXOR LP 37,5 MG, Gélule à libération prolongée",Boîte de 30,179.3
"MIACALCIC 200 UI, Spray nasal",Boîte de 1,290
"LACRINORM 0,2% , Gel opthalmique",Tube de 10 g,50
"CLOFENE 1%, Emulsion gélifiée",Tube de 60 g,45.9
"DISPAMOX 250 MG, Poudre pour suspension buvable",Flacon de 100 ml,33.6
"ACTEMRA 80 MG / 4 ML, Solution à diluer pour perfusion",Boîte de 1 flacon de 10 ml,1835
"TIMOPTOL 0,25 %, Collyre",Flacon de 3 ml,50.9
"MOFILET 500 MG, Comprimé pelliculé",Boite de 10,176.7
"GENSTAT 40 MG, Comprimé enrobé",Boite de 14,84.6
"NOGESTA 0.03 MG, Comprimé pelliculé",Boite de 3 plaquettes de 28 comprimés (84 comprimés),30.4
"MELADININE 10 mg , Comprimé",Boîte de 30,25.5
"XARELTO 2,5 MG, Comprimé pelliculé",Boite de 14,339
"FELDENE 10 MG, Gélule",Boîte de 20,44.3
"DOLOSTOP 500 MG, Comprimé effervescent",Boite de 16,14.5
PYRAZIN 500 mg Comprimé,Boîte de 50,71.9
"CLAVAM 500 MG / 125 MG, Comprimés",Boite de 12 comprimé,117.3
"CETAMYL 500 MG, Comprimé effervescent",Boîte de 16,15.3
LORIX 10 mg Comprimé,Boîte de 15,40
"DOLENIO 589 MG, Comprimé pelliculé",Boite de 60,190
"DOLIPRANE 1G, Comprimé sécable",Boîte de 10,14
"STARMOX 1 G, Comprimé dispersible",Boîte de 16,73
"DULOPHI 30 MG, Gélule gastrorésistante",Boite de 30,160
"DICLOMAX 50 MG, Comprimé GR",Boîte de 20,28.3
"LORAZEPAM PHARMA 1 mg, Comprimé",Boîte de 30,15.1
"ARIXTRA 10 MG /0.8 ML , Seringue pré-remplie",Boite de 2,398
"NOVALGINE 0,05, Sirop",Boîte de 1 Flacon de 100 ml,22.2
"GLUCOSE HYPERTONIQUE 30% Solution Injectable,",Flacon de 500 ml Carton de 12,255.1
"VASCOR 20 MG, Comprimé pelliculé",Boîte de 60,68.3
"CARTEXAN 400 MG, Gélule",Boite de 30 gélules,84.4
"APETINE 40 MG, Solution buvable",Flacon de 125 ml,13
"LIFONGID 1%, Crème",Tube de 15g,40
"ATHYMIL 30 MG, Comprimé pelliculé",Boîte de 20,98.3
"AMAREL 1 MG, Comprimé",Boîte de 30,51.1
"CLORACEF 250 MG/5 ML, Granules pour Suspension buvable",Flacon de 60 ml,74
"TRAMIUM 150 MG, Gélule LP",20 gélules,61
"PRIRIL 5 MG, Comprimé",Boite de 30,47.6
"ARIPIPHI 5 MG, Comprimé",Boite de 15,115
"PAXIL CR 25 mg, Comprimé pelliculé",Boîte de 30,320
"EFFICORT HYDROPHILE 0,00127 , Crème",Tube de 30g,40.5
"MIOCAMEN 600 MG, Comprimé",Boîte de 12,121.4
"ERACID 500MG, Comprimé",Boite de 14 comprimés pelliculé,139.5
"DIVARIUS 20 MG, Comprimé",Boîte de 28,147.2
"ACTACEPT 10 MG, Comprimé pelliculé",Boite de 30,400
"CYTEAL 500 ML, Solution moussante",Flacon de 500,49.3
"EUCARBON, Comprimé",Boîte de 30,32
"VALDOXAN 25 Mg, Comprimés",Boite de 14 comprimés,249
"ACNO 20 MG, Capsule molle",Boîte de 60,531
"ETIDRA 0.03 MG / 3 MG, Comprimé pelliculé",Boite de 28 ( 21 comprimés actifs + 7 placébos ),70
"ASCAL 500, Sachet",20 sachets,24.6
"GLYSET 1 mg, Comprimé",Boîte de 30,20
"DEPAKINE 200 MG, Comprimé gastro-résistant",Boîte de 40,43.5
"REVLIMID 10 MG, Gélule",21 gélules,37910
"LAMISIL 1 %, Crème",Tube de 15 g,52.8
"TORVA 10 MG, Comprimé",Boîte de 15 Comprimés enrobés,33.6
"DITROPAN 5 mg, Comprimé sécable",Boîte de 60,66.3
"NUVIVAX 20 MG, Comprimé enrobé",Boite unitaire,60
"CONTIFLO OD 0.4 MG, Gélule",Boite de 30,109.7
"ACM 20, SACHETS",Boite de 10 sachets,229.8
PENAMOX 500 mg Poudre pour sirop,Flacon de 60 ml,38.9
"LIRAPYN 150 MG, Gélule",Flacon de 60,364
"DOCETAXEL HOSPIRA 10 MG, Solution diluée pour perfusion",Un flacon de 2 ml (20mg),800
"CYSTINAT, Comprimé",Boite de 28,104
"BINOCRIT 10000 UI / 1 ML,Solution injectable",Boite de 6 ampoules injectables,2738
"AMAREL 2 MG, Comprimé",Boîte de 30,60.4
"CALIPLUS, SOLUTION BUVABLE","Flacon de 200 ml, Goût vanille",110
"HOMEOVOX, Dragée",Boîte de 55,36
"CLAVULIN 500 MG / 125 MG, Sachet",Boîte de 12,79.9
"CUSICROM 4 %, Collyre",Flacon de 10 ml,37
"AZITHRIX 500 MG, Comprimé pelliculé",Boîte de 3,79.7
"CLAMOXYL 500 MG, Gélule",Boîte de 12,52
"PRAVASTATINE GT 10 MG, Comprimé",Pillulier de 30,67.1
"TEFOVIR PHARMA5 300 MG, Comprimé pelliculé",Boite de 30,289
"SPASMOPLUS 500mg/50mg/40mg, suppositoire",Boîte de 5,23.9
"LEVOFLOXACINE NORMON 5MG/ML, Solution injectable pour perfusion",Boite de 20 flacons de 100 ml pour perfusion IV,3573
"ARTYX 15 MG, Comprimé",Boite de 20,87.4
"ROSUCAL 10 MG, Comprimé pelliculé",Boite de 14,82.5
"ROSUCAL 20 MG, Comprimé pelliculé",Boite de 14,133
"APENAT, Solution buvable arôme citron miel",Flacon de 200 ML,84.5
"COSTARVAL 160 MG / 12.5 MG, Comprimé pelliculé",Boite de 14,74.1
"ARIXTRA 10 MG / 0,8 ML, Seringue pré-remplie",Boîte de 10,1468
"GENTALLINE 40 mg, Solution injectable",Boîte de 1 ampoule,15.1
"STRATTERA 18 mg , Gélule",Boîte de 28,940
"SOMATULINE LP (I.M) 90 MG , Solution injectable","Boîte de 1 Seringue préremplie de 0,5 ml",10749
"LORCARD 5 MG, Comprimé",Boîte de 28,47.5
"TOPOTECAN SUN 4MG, Poudre pour solution pour perfusion",Boite de 1 flacon,
"AUGMENTIN 500 MG / 50MG, ENFANTS ET NOURISSONS, Poudre pour solution injectable",POUDRE POUR SOLUTION INJECTABLE,20
"CUREAML 500MG, Gélule",Boite de 30,69.5
"ERLUS 5 MG, Comprimé pelliculé",Boite de 14 comprimés,41.8
"ONBREZ 150 UG, Poudre d'inhalation en gélule",Boite de 30 gélules de poudre d'inhalation,484
"ALGOFENE 20 MG / ML, Sirop",Flacon de 150 ml,17
"CIALIS 5 MG, Comprimé pelliculé",Boite de 14,623
"NUVIVAX 10 MG, Comprimé enrobé",Boite de 8,247
"KERLONE 20 MG, Comprimé pelliculé sécable",Boîte de 28,97.9
"PHARMADIPINE 10 MG, Capsule",Boîte de 50,59.8
"OXIFLOR 200 MG, Comprimé",Boîte de 10,65
"CONVERTAL 50 MG, Comprimé",Boîte de 30,164.2
"PANTOPRAZOLE GT 20 MG, Comprimé",Boite de 20,91.9
"ERECTOR 50 MG, Comprimé enrobé",Boîte de 2,49
"PROCLOR 20 MG, Gelules",Boîte de 15,56.5
"VIARECT 50 MG, Comprimé pelliculé",Boite de 4,83.6
"AMOVAS 5 MG, Comprimé",Boîte de 56,97.7
"METHOTREXATE MYLAN 5G, Solution injectable",10 flacons de 50 ml,11067
"CANDESSAR RANBAXY 8 MG, Comprimé",Boite de 28,118.1
"ULTRAVIST 370 MG / ML, Solution injectable",Flacon de 100 ml,664
"TOUDEX, Sirop",Flacon de 125 ML,67.9
"TIORFAN 10 MG, Sachet buvable",Boite de 16,106.5
"DACRYOBORALINE, collyre",Flacon de 10 ml,25
"DIROGITE 500 MG, Comprimé enrobé",Boite de 120,1947
"AMCARD 5 MG, Comprimé",Boîte de 28,49.4
OXACIL PHARMA 5 500 MG GELULE,BOITE DE 16,
"ZADRYL 1 MG / ML, Solution buvable",Flacon de 60 ml,31.9
"COLICTYL, Solution buvable",Flacon de 120 ML,75
"TRACET 37.5 MG / 325 MG, Comprimé pelliculés",Boite de 10,16.8
"DICLOMAX 25 MG, Comprimé GR",Boîte de 20,18
"ALPRAZ 1 MG, Comprimé",Boîte de 14,35.7
"ZOLAM 30 mg , Gélule",Boîte de 28,120.7
"HYDROXO ""5000"", 5000 µg/ampoule, Soluté Injectable",Boîte de 4 Ampoules,58.5
"MINULET 0,075 MG / 0,03 MG, Comprimé enrobé",Boîte de 21,76.6
HOLOXAN 2 g Poudre pour préparation Injectable I.V et perfusion,Boîte de 1 flacon,826
"DRILL TOUX SÉCHE ADULTE 15 MG / 5 ML, Sirop",Flacon de 150ml,25
"BIOMIL PLUS AR 2EME AGE, Lait",Boite de 400G,67
"POTEX 10000 UI, Lyophilisat",Boîte de 1 Flacon avec une seringue préremplie,1134
"ALLERGO-COMOD 20 MG / ML, Collyre",Flacon de 10 ml,57.9
"AVEPRO 150 MG, Comprimé",Boite de 28,120
"ALFAMOX 500 MG, Gélule",Boîte de 12,39.8
"INDOPHARM 25 mg, Gélule",Boîte de 30,20.3
"OLANZAPINE WIN 5 MG, Comprimé orodispérsible",Boite de 30,119.7
"URODINE 4 MG, Gélule à libération prolongée",Boite de 14,94.7
"ICARD 150 MG, Comprimé pelliculé",Boite de 28,120
"TRAMAL 50 MG, Gélule",Boite de 10,25
"BACTOGERME, Antiseptique cutané",Flacon de 60 ML,38
"NAN 2EME AGE OPTIPRO, Lait",Boite de 400G,73
"PYROSIX, SOLUTION BUVABLE",Flacon de 250,32.5
"VARIVAX VACCIN 0.5, Poudre pour suspension injectable",Boite de 10 flacons unidoses,2756
"VIAGRA 50 MG, Comprimé",Boîte de 4,150
"LEXUS 80 MG / 2 ML, Soluté injectable",Boîte de 1 Flacon,2521
"ZIFAR 10mg, Comprimé",Boîte de 14,15
"NO-SPA Forte 80mg , Comprimé",Boîte de 20,45
"LOMET 30mg, Gélule",Boîte de 28,70
"GENTAGAM 120 MG, Solution Injectable",Boite unitaire,14.8
"ALPHACAINE N 72 MG / 0,0108 MG, Solution pour usage parenteral","Boîte de 100 cartouches de 1,8 ml",
"BESTOR 20 MG, Comprimé pelliculé",Boite de 30,260
"DIFRAREL 100, Comprimé enrobé",Boîte de 20,36
"BRONCOLIBER 120 MG, Gélule retard",Boîte de 20,75
"OLIMEL N9E, Émulsion pour perfusion",Poche de 1000 ML,464
"DAFLON 500 mg , Comprimé pelliculé",Boîte de 30,122.7
"NovoRapid FlexPen 100 U / ML, Solution Injectable",Boîte de 5 stylos pré/remplis de 1ml,647
"INIKAL 10 MG, Comprimé",Boîte de 30,76
"PARANTAL 500 MG, Comprimé",Boîte de 20,10.1
"ANCINE PLUS 50 MG / 12,5 MG, Comprimé pelliculé",Boite de 15,36.5
"TRESORIX, Gélule",Boîte de 20,23.8
"PENTASA 500 MG, Comprimé",Boîte de 100,587
"JOSACINE 125 MG / 5 ML, Poudre pour suspension buvable",Flacon de 60ml,45.9
"BLINDAM 1 G / 125 MG, Sachet",Boîte de 12,
"CARDIX 25 mg, Comprimé",Boîte de 28,89
SELEXID 200 mg Comprimé pelliculé,Boîte de 12,76.9
"ONIFINE 250 MG, Comprimé",Boîte de 28,237
"AMEP 5 MG, Comprimé",Boîte de 56,97.7
"UPERIO 50 MG, Comprimé pelliculé",Boite de 28,431
"SIFROL 1.05 MG, Comprimé libération prolongée",Boite de 10,197.5
"INDUCTAN 200 MG, Comprimé pelliculé",Boite de 30,79.5
"Dr Rougier, Pommade arnica",50 ML,59
"EPIRUBICINE EBEWE 2 MG / ML, Solution à diluer pour perfusion",Flacon de 25 ml,325
"DASEN, Comprimé enrobé gastro-résistant",Boîte de 40,47.8
"ZINNAT 500 MG, Comprimé",Boîte de 10 comprimés,141.2
"NOVONORM 2 MG, Comprimé",Boîte de 90,196.5
"DYNAVIT, Sirop goût orange",Flacon de 200 ML,95
"EPIGAB 150 MG, Gelule",Boite de 60,364
"KAMAGRA 50 MG, Comprimé",Boite de 1,27
"CELESTENE 0,05 %, Goutte",Flacon de 30 ml,33.2
"SULIAT HCT 160 MG / 5 MG / 12.5 MG, Comprimé pelliculé",Boite de 28,185.2
"CEFOTRIM 1000 MG, Poudre pour solution injectable",Flacon de 10 ml+ 1 Ampoule d'EPPI,105.8
"JANUMET 50/850 mg, Comprimé",Boîte de 56,428
"IMUSPORIN 100 mg, Capsule molle",Boîte de 50,1691
"TETRA 500 MG, , Comprimé dragéifié",Boîte de 10,25.2
"CEFALINE HAUTH 500 MG / 50 MG, Sachet",Boîte de 10,14.2
"NAPROGEL GEL A 10 % ,",Tube de 20 g,21.55
"SOLIAN 200 MG, Comprimé sécable",Boîte de 30,339
"TIAPEX LP 150 MG, Comprimé pelliculé à libération prolongée",Boite de 30,145
"ISOX 200 MG, Gélule",Boite de 10,82
"MEDZAR 50MG, Comprimé",Boite de 30 comprimés,65
LACINE 50 mg Comprimé enrobé sécable,Boîte de 30,159.9
"BACTALL 250 MG, Comprimé enrobé",Boîte de 10,31.8
"ONGECIN 1G , Poudre pour solution",Poudre pour Flacon de 50 ml,971
"AZIX 500 MG, Comprimé",Boîte de 3,79.7
"MARVIL 10 MG, Comprimé enrobé",Boîte de 28,318
"SORBHEPATIC Comprimé effervescent,",Boîte de 20,17
"TAHOR 20 MG, Comprimé",Boîte de 28,103.4
"GENTAGAM 160 MG, Solution Injectable",Boite de 6 ampoule de 2 ML,86.7
"MORPHINE SOTHEMA 10 MG / ML , Solution injectable",Boîte de 10 ampoules,50
"DIPICOR 10 MG, Comprimé",Boîte de 30,106
"BUPIVACAINE AGUETTANT 2.5%, Solution injectable",Boîte de 10 flacons de 20ml,236
"XYLATIN 50 , Poudre pour solution",Poudre pour Flacon de 10 ml,1089
EXOSEPTOPLIX 125 mg/100 ml Solution pour application cutanée,Flacon de 50 ml,60
FILGRASTIM Cooper 300µg (30MU) Solution Injectable,Boîte de 1ser 1ml,
"PRAVASTATINE GT 40 MG, Comprimé",boite de 20,110
"GINKOR FORT , Gélule",Boîte de 30,70
"STEDIRIL 0,5 MG / 0,05 MG, Comprimé enrobé",Boîte de 21,11.6
OMNIVIT MEMORY INTENSE Gelules,Boite de 60 gélules,129
"CATARSTAT , Collyre",Flacon de 10 ml,35.9
"ANAFRANIL 25 MG, Dragée",Boîte de 30,47.9
"STÉRIMAR, Nez fragilisé",Flacon de 50 ml,85
"NEOCORT Pommade ophtalmique,",Tube de 5 g,8
"PAROXETINE GT 20 MG, Comprimé pelliculé",Flacon de 20,88.2
"FASLODEX, Solution injectable",1 seringue pré-remplie,5125
"IMBRUVICA 140 MG, Gélule",Boite de 120,89716
"RAMIPRIL/HYDROCHLOROTHIAZIDE GT 2,5 MG / 12,5 MG , Comprimé",Boîte de 56,197
"TRIACEPHINE PHARMA5 2G (IV) , Poudre pour solution injectable",Boîte de d'un flacon de poudre pour solution pour perfusion,252
"ROXID 100 MG, Gélule",Boite de 16,11.5
"RELPAX 40 MG, Comprimé",Boîte de 6,275
"STAXOM 400 MG, Comprimé",Boite de 5 comprimés dosés à 400 mg,197
"PEVARYL 0,01 , Emulsion dermique",Boîte de 1 Flacon de 30 ml,57.9
"CAPEN 25 MG, Comprimé sécable",Boîte de 30,75
"COSOPT 20 MG/5 MG, Collyre en solution",60 récipients de 0.2 ML,263
"OROSTIM, Gélule",Boite de 30,75
"ZEPAM 6 MG, Comprimé",Boîte de 30,34.7
"NOOTROPYL 800 mg , Comprimé pelliculé",Boîte de 60,134.8
BRONCHOKOD 5 % Sans sucre Solution Buvable Adulte,Flacon de 300 ml,41.15
"THIOBACTIN 750 MG, Lyophilisatilisat injectable",Boîte de 8 ampoules de 5 ml,207
"LAMICTAL 100 MG, Comprimé dispersible",Boîte de 30,239
"DOLIPRANE 150 MG, Suppositoire",Boîte de 10,9.7
"TRITAZIDE 10 MG / 25 MG, Comprimé sécable",Boîte de 14,35.4
"BACTOSPRAY, Solution antiseptique sans alcool",Flacon de 125 ML,138
"YOMESANE 500mg , Comprimé effervescent,",Boîte de 4,13.2
"DIGEST 100mg, Comprimé",Boîte de 20,26.5
"LAXAMOL ( 50 µG + 5 MG ), Collyre en solution",Flacon de 5 ml contenant 2.5 ML,138.5
"VITAGAM FER, Comprimé à sucer",Boite de 40,94
"CURACNE 40 MG, Capsule molle",Boîte de 30,517
"BELMAZOL 20 MG, Gélule",Boîte de 14,49
